Date,Open,High,Low,Close,Volume
27-05-1988,1966.7,1970.8,1944.4,1956.4,10378493
31-05-1988,1959.4,2034.5,1959.4,2031.1,21163843
01-06-1988,2031.1,2076.3,2021.3,2064,34987714
02-06-1988,2064,2073.3,2030.9,2052.5,23401834
03-06-1988,2052.5,2080.7,2040,2071.3,19643347
06-06-1988,2071.3,2083.9,2049.1,2075.2,15473147
07-06-1988,2075.2,2082.9,2042.9,2054.6,20311784
08-06-1988,2055.8,2113.6,2055.8,2103,28682427
09-06-1988,2103,2119.3,2081.8,2093.4,24690272
10-06-1988,2093.4,2123.6,2084.8,2101.7,19553274
13-06-1988,2101.7,2114.2,2084.6,2099.4,12484074
14-06-1988,2111.1,2148.1,2111.1,2124.5,40435289
15-06-1988,2124.5,2137.5,2109.5,2131.4,16743327
16-06-1988,2120.7,2120.7,2082,2094.2,18881844
17-06-1988,2094.2,2116.5,2070.1,2104,36958606
20-06-1988,2100.1,2100.1,2072.7,2083.9,13408078
21-06-1988,2083.9,2115.8,2072.6,2109.2,20451572
22-06-1988,2131.1,2160.1,2131.1,2152.2,28933922
23-06-1988,2152.2,2169.1,2131.6,2148.3,21580412
24-06-1988,2148.3,2165.4,2133.5,2143,17584650
27-06-1988,2143,2147.8,2101.2,2108.5,15690846
28-06-1988,2108.5,2139.9,2100.1,2130.9,15652282
29-06-1988,2130.9,2144.9,2106.2,2122,16106815
30-06-1988,2122,2147.2,2112.4,2141.7,24425068
01-07-1988,2141.7,2151.1,2119,2131.6,14330560
05-07-1988,2131.6,2162.5,2117.7,2158.6,16878425
06-07-1988,2158.6,2169.5,2107.4,2130.2,21222803
07-07-1988,2130.2,2136,2101.4,2122.7,17000148
08-07-1988,2122.7,2133.5,2099.4,2106.2,12626019
11-07-1988,2106.2,2126.1,2098.7,2111.3,10280809
12-07-1988,2111.3,2121.4,2077.5,2092.6,18617200
13-07-1988,2092.6,2114.2,2073.4,2104.4,18243941
14-07-1988,2104.4,2125.7,2089.3,2113.6,14924933
15-07-1988,2113.6,2140.1,2099.6,2129.5,22038467
18-07-1988,2129.5,2132.5,2099.4,2117.9,17145048
19-07-1988,2117.9,2127.7,2081.1,2097.3,15429445
20-07-1988,2097.3,2119.3,2091.4,2110.6,12295356
21-07-1988,2110.6,2113.6,2077.2,2086.6,13198048
22-07-1988,2086.6,2092.5,2050.3,2061,15697114
25-07-1988,2061,2082.7,2048.5,2071.8,10670216
26-07-1988,2071.8,2089.8,2059.6,2074,12563296
27-07-1988,2074,2090,2047.3,2053.7,14963774
28-07-1988,2053.7,2089.3,2047.3,2082.3,15625538
29-07-1988,2084.3,2133,2084.3,2128.7,25149258
01-08-1988,2128.7,2146.2,2111.8,2130.5,14453235
02-08-1988,2130.5,2151.9,2112.2,2131.2,20612796
03-08-1988,2131.2,2147.9,2115.4,2134.1,18279909
04-08-1988,2134.1,2147.2,2117.7,2126.6,20274868
05-08-1988,2126.6,2128.7,2105.4,2119.1,12872970
08-08-1988,2119.1,2134.6,2103.1,2107.4,12411652
09-08-1988,2107.4,2111,2061.2,2079.1,19581733
10-08-1988,2078.4,2078.4,2023.7,2034.1,22390057
11-08-1988,2034.1,2050.7,2014.1,2039.3,27399101
12-08-1988,2039.3,2046.4,2019.4,2037.5,13429668
15-08-1988,2037.5,2040.7,1998.8,2004.3,15448475
16-08-1988,2004.3,2043.6,1993.8,2021.5,20433809
17-08-1988,2021.5,2042.5,2003.4,2026,16815080
18-08-1988,2026,2046.6,2014.2,2027,14071267
19-08-1988,2027,2048.9,2011.4,2016,16272678
22-08-1988,2016,2027.6,1987,1990.2,13638822
23-08-1988,1990.2,2008.4,1978.7,1989.3,14537885
24-08-1988,1990,2029,1990,2026.7,14479552
25-08-1988,2022.1,2022.1,1990.4,2010.9,14630259
26-08-1988,2010.9,2027.4,2002.1,2017.4,10936338
29-08-1988,2019.6,2047.5,2019.6,2041.4,11384350
30-08-1988,2041.4,2052.6,2028.6,2038.2,11038699
31-08-1988,2038.2,2052.5,2022.9,2031.7,11997348
01-09-1988,2027.6,2027.6,1988.4,2002.3,16535278
02-09-1988,2022.4,2064.7,2022.4,2054.6,17218666
06-09-1988,2054.6,2074.7,2046.4,2065.3,12871110
07-09-1988,2065.3,2084.1,2053,2065.8,14402407
08-09-1988,2065.8,2079.3,2052.1,2063.1,13251558
09-09-1988,2063.1,2088.7,2038.9,2068.8,16889280
12-09-1988,2068.8,2088.6,2057.4,2072.4,15135496
13-09-1988,2072.4,2088.2,2055.3,2083,14073512
14-09-1988,2083,2111.7,2079.1,2100.6,21441272
15-09-1988,2100.6,2112.6,2084.3,2092.3,15253448
16-09-1988,2092.3,2113.3,2077.7,2098.2,29588032
19-09-1988,2096.6,2096.6,2066.9,2081.1,15340007
20-09-1988,2081.1,2097.3,2073.3,2087.5,13193893
21-09-1988,2087.5,2103.3,2078.8,2090.5,12967570
22-09-1988,2090.5,2097.1,2066.7,2080,14360565
23-09-1988,2080,2097.8,2070.4,2090.7,17084553
26-09-1988,2090.7,2098.3,2075.8,2085.2,9029186
27-09-1988,2085.2,2095.3,2069.9,2082.3,11417024
28-09-1988,2082.3,2096.4,2070.2,2085.5,11922098
29-09-1988,2085.5,2123.8,2084.5,2119.3,19193090
30-09-1988,2119.3,2140.3,2104,2112.9,20115373
03-10-1988,2112.9,2116.8,2083.4,2105.3,14492481
04-10-1988,2105.3,2119.5,2090.7,2102.1,13541523
05-10-1988,2102.1,2119.8,2082.3,2106.5,21074670
06-10-1988,2106.5,2118.1,2092.6,2107.8,16878827
07-10-1988,2112,2157.7,2112,2150.3,27496563
10-10-1988,2150.3,2167.9,2139.1,2159,15557542
11-10-1988,2159,2164.8,2137.1,2156.5,14175717
12-10-1988,2146.3,2146.3,2113.4,2126.2,17846237
13-10-1988,2126.2,2149.5,2114.3,2133.4,15728603
14-10-1988,2133.4,2153.8,2118.8,2133.2,15610900
17-10-1988,2133.2,2150.6,2120,2140.5,12977094
18-10-1988,2140.5,2163.4,2124.3,2159.9,19458160
19-10-1988,2159.9,2173,2111,2137.3,21583951
20-10-1988,2137.3,2183.7,2129.8,2181.2,24027807
21-10-1988,2181.2,2193.3,2152.6,2183.5,30335592
